Reference,Colour_Description,Breed_Description,Animal_Name,Gender,Suburb
112277,Brown/White,Maltese X,COOPER,Desexed Male,ELIZABETH GROVE
112305,Black /Tan,Rottweiler,ANNIE,Female,WATERLOO CORNER
112336,Grey,Australian Silky Terrier,MITZ,Desexed Female,ELIZABETH VALE
112344,Brown/White,English Springer Spaniel,LAIKA,Female,ELIZABETH GROVE
112350,Tan/White,Jack Russell Terrier,KELLY,Desexed Female,CRAIGMORE
112369,Brown/Cream,Fox Terrier (Smooth)  X,GOLDIE,Female,SMITHFIELD PLAINS
112392,Tan,Staffordshire Bull Terrier X,AMBER,Female,CRAIGMORE
112415,Blond,Labrador Retriever,CK,Desexed Male,SMITHFIELD PLAINS
112462,Tan,Fox Terrier (Smooth)  X,RUBY,Female,MACDONALD PARK
112505,Black,Terrier X,JAKE,Male,ELIZABETH NORTH
112523,Tan/White,Jack Russell Terrier X,CINDY,Female,SMITHFIELD PLAINS
112542,Brindle/White,Boxer X,SHEBA,Desexed Female,DAVOREN PARK
112573,Sable,Pomeranian X,AMBER,Female,HUMBUG SCRUB
112640,Tri-Colored,Jack Russell Terrier X,LILLY,Female,DAVOREN PARK
112655,Tri-Colored,Tenterfield Terrier X,MINTY,Female,ELIZABETH EAST
112698,White/Tan,Pekingese X,CHUNG LEE,Desexed Female,ELIZABETH NORTH
112704,Cream,Australian Silky Terrier X,BONNIE,Desexed Female,ELIZABETH DOWNS
112705,Grey,Australian Silky Terrier X,ABBEY,Desexed Female,ELIZABETH DOWNS
112745,Tan/White,Jack Russell Terrier,KASEY,Female,CRAIGMORE
112806,Black,Labrador Retriever,SALLY,Female,ELIZABETH VALE
112849,Black,Poodle X,CHLOE,Desexed Female,ELIZABETH VALE
112881,Brown/Red,Border Collie,RUBY,Female,ONE TREE HILL
112993,Brown,Staffordshire Bull Terrier X,BUNDY,Male,BLAKEVIEW
112998,Black/White,Chihuahua,BOOMER,Male,CRAIGMORE
113046,Beige,Australian Terrier X,CASSEY,Desexed Female,CRAIGMORE
113077,Brown/White,Australian Silky Terrier X,RINGO,Male,ELIZABETH GROVE
113079,Black,Poodle X,TIKE,Male,DAVOREN PARK
113124,Black,Staffordshire Bull Terrier,JUNIOR,Male,BLAKEVIEW
113149,Black/White,Border Collie,ANNIE,Desexed Female,ONE TREE HILL
113164,White/Brown,Jack Russell Terrier,SIMBA,Male,ANGLE VALE
113177,Tan,Dachshund X,CASSIE,Female,CRAIGMORE
113238,Sable/Cream,Chihuahua,SIMBA,Desexed Male,SMITHFIELD
113247,White,Bull Terrier,CASSIE,Desexed Female,SMITHFIELD
113266,White/Tan,Maltese X,TOBY,Desexed Male,CRAIGMORE
113287,Tri-Colored,Fox Terrier (Smooth)  X,ANGEL,Female,SMITHFIELD
113314,Tri-Colored,Australian Kelpie X,ZORRO,Desexed Male,ELIZABETH VALE
113349,Tan,Chihuahua,ROCKY,Desexed Male,BLAKEVIEW
113365,Black/White,Dalmation,PURDY,Female,BIBARINGA
113376,Tan/White,Fox Terrier (Smooth)  X,WHOOCHEE,Male,ELIZABETH DOWNS
113386,White,Maltese,SUZIE,Female,ELIZABETH EAST
113415,White,West Highland White Terrier X,ASTI,Desexed Female,HILLBANK
